#Region
#Format: region,region,...
us-east-1,us-west-2,us-west-1,eu-west-1,ap-southeast-1,ap-northeast-1,ap-southeast-2,sa-east-1
#Format: Region,InstanceType,OS,Cost
#us-east-1, linux
us-east-1,m1.small,linux,0.06
us-east-1,m1.medium,linux,0.12
us-east-1,m1.large,linux,0.24
us-east-1,m1.xlarge,linux,0.48
us-east-1,m3.xlarge,linux,0.5
us-east-1,m3.2xlarge,linux,1.0
us-east-1,t1.micro,linux,0.02
us-east-1,m2.xlarge,linux,0.41
us-east-1,m2.2xlarge,linux,0.82
us-east-1,m2.4xlarge,linux,1.64
us-east-1,c1.medium,linux,0.145
us-east-1,c1.xlarge,linux,0.58
us-east-1,cc1.4xlarge,linux,1.3
us-east-1,cc2.8xlarge,linux,2.4
us-east-1,cr1.8xlarge,linux,3.5
us-east-1,cg1.4xlarge,linux,2.1
us-east-1,hi1.4xlarge,linux,3.1
us-east-1,hs1.8xlarge,linux,4.6
#us-east-1, windows
us-east-1,m1.small,windows,0.091
us-east-1,m1.medium,windows,0.182
us-east-1,m1.large,windows,0.364
us-east-1,m1.xlarge,windows,0.728
us-east-1,m3.xlarge,windows,0.78
us-east-1,m3.2xlarge,windows,1.56
us-east-1,t1.micro,windows,0.02
us-east-1,m2.xlarge,windows,0.51
us-east-1,m2.2xlarge,windows,1.02
us-east-1,m2.4xlarge,windows,2.04
us-east-1,c1.medium,windows,0.225
us-east-1,c1.xlarge,windows,0.9
us-east-1,cc1.4xlarge,windows,1.61
us-east-1,cc2.8xlarge,windows,2.97
us-east-1,cr1.8xlarge,windows,3.831
us-east-1,cg1.4xlarge,windows,2.6
us-east-1,hi1.4xlarge,windows,3.58
us-east-1,hs1.8xlarge,windows,4.931
#us-west-2, linux
us-west-2,m1.small,linux,0.06
us-west-2,m1.medium,linux,0.12
us-west-2,m1.large,linux,0.24
us-west-2,m1.xlarge,linux,0.48
us-west-2,m3.xlarge,linux,0.5
us-west-2,m3.2xlarge,linux,1.0
